,SpeciesGroup,,GearStatus,
,Shark,Shark,,Shark Total
Area,Active,Not Active,,
Bribie Island,10,,,10
Bundaberg,1174,54,,1228
Cairns,1314,135,,1449
Capricorn Coast,1743,92,,1835
Gladstone,871,183,,1054
Gold Coast,882,370,,1252
Mackay,1344,370,,1714
Nth Stradbroke Is.,329,31,,360
Rainbow Beach,1006,2,,1008
Sunshine Coast North,1083,72,,1155
Sunshine Coast South,116,,,116
Sunshine Coast South & Bribie Island,325,62,,387
Townsville,2184,239,,2423
Grand Total,12381,1610,,13991
