,SpeciesGroup,,Fate,
,Shark,Shark,,Shark Total
Area,Alive,Dead,,
Bribie Island,4,6,,10
Bundaberg,421,807,,1228
Cairns,397,1052,,1449
Capricorn Coast,271,1564,,1835
Gladstone,87,967,,1054
Gold Coast,236,1016,,1252
Mackay,557,1157,,1714
Nth Stradbroke Is.,85,275,,360
Rainbow Beach,191,817,,1008
Sunshine Coast North,175,980,,1155
Sunshine Coast South,18,98,,116
Sunshine Coast South & Bribie Island,58,329,,387
Townsville,730,1693,,2423
Grand Total,3230,10761,,13991
