CalendarYear,Female,Male
2001,445,270
2002,384,231
2003,306,233
2004,308,258
2005,306,297
2006,319,246
2007,297,232
2008,282,281
2009,326,250
2010,315,261
2011,381,294
2012,431,299
2013,367,296
2014,354,215
2015,387,276
2016,332,175
2017,308,174
2018,313,166
2019,275,158
2020,335,207
2021,474,260
2022,430,266
2023,209,137
