Area,Alive,Dead
Bribie Island,4,6
Bundaberg,426,808
Cairns,397,1054
Capricorn Coast,276,1567
Gladstone,87,968
Gold Coast,236,1016
Mackay,557,1157
Nth Stradbroke Is.,85,276
Rainbow Beach,191,817
Sunshine Coast North,175,981
Sunshine Coast South,18,98
Sunshine Coast South & Bribie Island,58,329
Townsville,731,1696
Grand Total,3241,10773
