Area,Female,Male
Bribie Island,9,1
Bundaberg,774,368
Cairns,823,608
Capricorn Coast,843,916
Gladstone,541,443
Gold Coast,755,482
Mackay,1054,632
Nth Stradbroke Is.,263,73
Rainbow Beach,560,417
Sunshine Coast North,707,389
Sunshine Coast South,71,38
Sunshine Coast South & Bribie Island,232,135
Townsville,1252,980
Grand Total,7884,5482
